time_origin,time_dest,?column?,?column?,pairs
1449716440,1454422426,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/alibaba/druid/commit/1554d2bce65d87ca6b335d9f02e89a0f61c0ae23,10
1420475456,1462448080,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/alibaba/druid/commit/213570dfc605882056742654e82c1dee30b16ec7,10
1449716440,1462448080,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/alibaba/druid/commit/213570dfc605882056742654e82c1dee30b16ec7,10
1449716440,1454581123,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/alibaba/druid/commit/91809146310a94d68249a1e9ef6e2652b0d05843,9
1420475456,1454581123,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/alibaba/druid/commit/91809146310a94d68249a1e9ef6e2652b0d05843,9
1388458829,1450452542,https://github.com/alibaba/jstorm/commit/9b6b33d10687f3640a0ce7170c35b3482a82b922,https://github.com/google/guava/commit/71643094aca01d7386f8a84609aad7fa7632086e,9
1449716440,1464949477,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/gocd/gocd/commit/6db78de1b5332f4a953e9f13ae60af931aacb0d9,8
1276000528,1384744268,https://github.com/jhy/jsoup/commit/27a52f90a25699bebe23ff1ff94d6db361fdb11d,https://github.com/jhy/jsoup/commit/6c4f16f233cdfd7aedef33374609e9aa4ede255c,8
1420475456,1455144700,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/google/guava/commit/6e5d50950189567224dcb57df026f08b0709a3ba,8
1388458829,1397962027,https://github.com/alibaba/jstorm/commit/9b6b33d10687f3640a0ce7170c35b3482a82b922,https://github.com/prestodb/presto/commit/d00c35157eacc553d610b01dbad3a2a4d1da906d,8
1420475456,1441224205,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/orientechnologies/orientdb/commit/8bfe91b79d9d885fa61da3ee04298bcbe6ba6878,8
1420475456,1434813027,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/alibaba/druid/commit/d553c2d7e98ada4f0cf1130721d54b3f9ea355d1,8
1388137372,1397962027,https://github.com/alibaba/jstorm/commit/188e2f92a4b766afd4184ffdfb26d4b3d88bfa1a,https://github.com/prestodb/presto/commit/d00c35157eacc553d610b01dbad3a2a4d1da906d,8
1391564088,1464709793,https://github.com/xetorthio/jedis/commit/d846149ae16739b55cc891eba1f2455a4acc28c3,https://github.com/xetorthio/jedis/commit/6a9359f134b0377c4dc77b91ae2f8d7e187b12aa,8
1420475456,1423213342,https://github.com/alibaba/jstorm/commit/362f3b9d373cf7e8fb2ee8d6e429d5589d4234c5,https://github.com/alibaba/druid/commit/770504cce3f8da4a0dda06d7872218b2c9502a4c,8
1449716440,1459243145,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/gocd/gocd/commit/71ed3f0abf6ee673d1f0c7ca4e2262afae38dea6,7
1449716440,1454327483,https://github.com/alibaba/jstorm/commit/6dc60b06a0a8880cf37c88a462a213737703be80,https://github.com/orientechnologies/orientdb/commit/2be5212bdb27f0c211da918620ee66e176ce3b76,7
